	2.50372	0.172906	0
	2.51488	0.345252	0
	2.53349	0.516491	0
	2.5596	0.686103	0
	2.59323	0.853602	0
	2.6344	1.01854	0
	2.68313	1.1805	0
	2.73943	1.33911	0
	2.80327	1.49403	0
	2.87462	1.64493	0
	2.95344	1.79152	0
	3.03963	1.93352	0
	3.13312	2.07065	0
	3.23379	2.20267	0
	3.34152	2.32933	0
	3.45616	2.4504	0
	3.57756	2.56564	0
	3.70554	2.67484	0
	3.83993	2.77778	0
	3.98053	2.87425	0
	4.12713	2.96404	0
	4.27953	3.04697	0
	4.43748	3.12284	0
	4.60077	3.19147	0
	4.76915	3.25268	0
	4.94236	3.3063	0
	5.12016	3.35217	0
	5.30227	3.39013	0
	5.48842	3.42003	0
	5.67834	3.44174	0
	5.87175	3.45513	0
	6.06835	3.46006	0
	6.26785	3.45643	0
	6.46996	3.44413	0
	6.67437	3.42306	0
	6.88078	3.39314	0
	7.08888	3.35429	0
	7.29835	3.30643	0
	7.50889	3.24952	0
	7.72017	3.1835	0
	7.93187	3.10833	0
	8.14367	3.02398	0
	8.35526	2.93044	0
	8.56631	2.82769	0
	8.77649	2.71574	0
	8.98548	2.59459	0
	9.19297	2.46427	0
	9.39861	2.32482	0
	9.60211	2.17626	0
	9.80312	2.01866	0
	10.0013	1.85207	0
	10.1964	1.67658	0
	10.3881	1.49225	0
	10.576	1.29918	0
	10.7599	1.09748	0
	10.9394	0.887248	0
	11.1143	0.668613	0
	11.2842	0.441704	0
	11.4489	0.206658	0
	11.608	-0.0363748	0
	11.7612	-0.287238	0
	11.9084	-0.545764	0
	12.0491	-0.811779	0
	12.1832	-1.0851	0
	12.3104	-1.36554	0
	12.4304	-1.65289	0
	12.5429	-1.94695	0
	12.6478	-2.2475	0
	12.7447	-2.55432	0
	12.8335	-2.86718	0
	12.9138	-3.18585	0
	12.9856	-3.51008	0
	13.0485	-3.83962	0
	13.1024	-4.17421	0
	13.1471	-4.51359	0
	13.1824	-4.8575	0
	13.208	-5.20566	0
